2020-2021 NBA Stats | Player Box Score & Advanced Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Bruce Brown,Bro,G-F,24.67,52,22.1,46.1,16,10.9,90,0.767,290,0.579,47,0.255,0.552,0.586,8.5,4.8,12.3,1.7,10.1,0.85,0.37,0.88,7.4,120.5,105.3
,Jaylen Brown,Bos,G-F,24.48,52,34.1,71.1,29.7,11.6,224,0.754,625,0.546,354,0.401,0.566,0.593,24.6,5.8,9.5,3.4,17.1,1.21,0.56,2.73,9.2,112.8,107.1
,Moses Brown,Okc,C,21.51,27,21.1,43.9,18,11.3,92,0.62,171,0.556,0,0,0.556,0.584,9.1,8.7,21.5,0.1,1.1,0.59,1.19,1,3.8,118,103.3
,Sterling Brown,Hou,G-F,26.18,51,24.1,50.2,13.5,10.5,31,0.806,119,0.496,215,0.423,0.585,0.598,8.2,4.4,9.7,1.4,8.5,0.75,0.24,0.8,6.1,114.1,109.1
,Jalen Brunson,Dal,G,24.63,51,25.5,53.1,19.9,11,123,0.789,310,0.59,155,0.387,0.587,0.619,12.6,3.6,7.7,3.4,20.3,0.51,0,1.25,8.4,121.9,110.2
,Thomas Bryant,Was,C-F,23.71,10,27.1,56.4,17.3,9.8,24,0.667,70,0.714,21,0.429,0.698,0.704,14.3,6.1,11.9,1.5,8.5,0.4,0.8,1.1,7.5,130.7,105.2
,Reggie Bullock,Nyk,G-F,30.09,50,28.1,58.6,14.5,7.8,36,0.889,127,0.496,282,0.397,0.565,0.581,9.9,3.3,6.4,1.4,7.1,0.8,0.16,0.72,5.1,113.6,104.3
,Trey Burke,Dal,G,28.43,49,14.3,29.8,19.6,8.1,40,0.85,136,0.522,130,0.362,0.532,0.559,6.5,0.9,3.4,1.3,13.9,0.57,0.04,0.51,5.5,111.9,110.4
,Alec Burks,Nyk,G,29.74,44,25.8,53.7,20.9,8.2,111,0.865,226,0.42,218,0.408,0.515,0.561,12.6,4.5,9.4,2.2,13.1,0.68,0.27,1,7.7,113.5,102.9
,Jimmy Butler,Mia,F,31.59,41,33.7,70.3,26.6,10.5,324,0.852,508,0.537,82,0.232,0.511,0.6,21.4,7.2,12.1,7.2,36.7,2.1,0.39,2.1,12.3,125.5,106.6
,Bruno Caboclo,Hou,F,25.57,6,6.1,12.6,25.6,18.3,2,0.5,12,0.667,5,0,0.471,0.475,2.8,2.3,20.5,0.2,4.6,0,0.33,0.67,7.1,83.1,97.3
,Devontae Cacok,Lal,F,24.52,16,5.2,10.8,17.7,11.8,9,0.444,26,0.654,0,0,0.654,0.634,2.4,1.7,18.1,0.1,1.9,0.31,0.25,0.25,5.7,117.3,95.3
,Kentavious Caldwell-Pope,Lal,G,28.16,52,27,56.2,14.3,12.4,75,0.84,166,0.446,205,0.41,0.539,0.573,8.9,2.7,5.5,1.7,8.4,0.79,0.33,1.1,5.1,108.9,104.5
